iter	RMSE
0	0.01054705431
1	0.01053765956
2	0.01052657695
3	0.01051462611
4	0.01050496366
5	0.01049146509
6	0.01047870091
7	0.0104694822
8	0.01045999091
9	0.01045063502
10	0.0104405476
11	0.01042759977
12	0.01041735655
13	0.01040545002
14	0.01039856866
15	0.01038577349
16	0.01037911122
17	0.01037150335
18	0.01036781612
19	0.01036166148
20	0.01035480985
21	0.0103441003
22	0.01033907524
23	0.01033312261
24	0.01032604297
25	0.01031604332
26	0.01030662204
27	0.01029953279
28	0.01028948378
29	0.0102801001
30	0.01027512809
31	0.01026673839
32	0.01025793538
33	0.01025074079
34	0.01024718282
35	0.01024153204
36	0.01023505829
37	0.01022522098
38	0.0102193219
39	0.01021487755
40	0.01020896823
41	0.01020217244
42	0.01019236637
43	0.01018645347
44	0.01017649396
45	0.01017052062
46	0.01016252884
47	0.01015678068
48	0.0101496785
49	0.01014415884
50	0.01013995284
51	0.01013593281
52	0.01013011705
53	0.01012524576
54	0.01011897346
55	0.01011179975
56	0.01010520967
57	0.01009960726
58	0.01009540647
59	0.01008921519
60	0.0100835828
61	0.01007662958
62	0.01007188626
63	0.01006399822
64	0.01006240276
65	0.01005551998
66	0.01004957574
67	0.01004318824
68	0.01003664913
69	0.01003003087
70	0.01002413487
71	0.01001188517
72	0.01000581882
73	0.01000049344
74	0.009991626433
75	0.009985713729
76	0.009978565634
77	0.009972238116
78	0.009967038139
79	0.009961186172
80	0.009954944891
81	0.009952598709
82	0.009948523763
83	0.009943170869
84	0.009938671644
85	0.009933561599
86	0.009927232355
87	0.009921529544
88	0.009915059266
89	0.009910672128
90	0.009904532584
91	0.009900005725
92	0.009895888596
93	0.009891171348
94	0.009887617179
95	0.009883618149
96	0.009878238487
97	0.009873059223
98	0.009867943788
99	0.009861540531
100	0.009858016731
101	0.009853215677
102	0.009848760858
103	0.009843983523
104	0.009838873885
105	0.009829080548
106	0.009825236056
107	0.009819886322
108	0.00981448846
109	0.009809654734
110	0.009804930043
111	0.009798533574
112	0.009794772372
113	0.009790235856
114	0.009786156902
115	0.009783048354
116	0.009779778144
117	0.009776652909
118	0.009773269299
119	0.009767083895
120	0.009760974384
121	0.009757260938
122	0.009752290873
123	0.009748231739
124	0.009742783926
125	0.009735952
126	0.009733791557
127	0.009728397358
128	0.009723940023
129	0.009721064783
